Analizing File:  ImageValidator.c
        0.44 real         0.02 user         0.00 sys
Analizing File:  fmo.c
        0.77 real         0.19 user         0.01 sys
        0.84 real         0.18 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.18 user         0.01 sys
        0.73 real         0.18 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
Analizing File:  header.c
        1.17 real         0.28 user         0.01 sys
        1.10 real         0.29 user         0.01 sys
        1.15 real         0.29 user         0.01 sys
        1.06 real         0.28 user         0.01 sys
        1.27 real         0.29 user         0.01 sys
        1.15 real         0.29 user         0.01 sys
        1.19 real         0.32 user         0.01 sys
        1.26 real         0.32 user         0.01 sys
        1.12 real         0.28 user         0.01 sys
        1.10 real         0.30 user         0.01 sys
Analizing File:  image.c
        2.08 real         0.64 user         0.02 sys
        2.36 real         0.72 user         0.03 sys
        2.18 real         0.70 user         0.02 sys
        2.21 real         0.66 user         0.02 sys
        1.97 real         0.66 user         0.02 sys
        1.96 real         0.63 user         0.01 sys
        2.08 real         0.66 user         0.02 sys
        2.22 real         0.70 user         0.02 sys
        1.95 real         0.65 user         0.02 sys
        2.20 real         0.70 user         0.02 sys
Analizing File:  img_io.c
        0.59 real         0.08 user         0.01 sys
        0.58 real         0.08 user         0.01 sys
        0.60 real         0.08 user         0.01 sys
        0.61 real         0.08 user         0.01 sys
        0.59 real         0.08 user         0.00 sys
        0.62 real         0.08 user         0.01 sys
        0.58 real         0.08 user         0.00 sys
        0.60 real         0.08 user         0.00 sys
        0.67 real         0.09 user         0.01 sys
        0.61 real         0.09 user         0.01 sys
Analizing File:  img_process.c
        0.81 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.78 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.78 real         0.18 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
Analizing File:  input.c
        0.92 real         0.25 user         0.01 sys
        0.89 real         0.24 user         0.01 sys
        0.89 real         0.24 user         0.01 sys
        0.90 real         0.24 user         0.01 sys
        1.01 real         0.23 user         0.01 sys
        0.89 real         0.24 user         0.01 sys
        0.89 real         0.24 user         0.01 sys
        0.88 real         0.23 user         0.01 sys
        0.88 real         0.23 user         0.01 sys
        0.88 real         0.23 user         0.01 sys
Analizing File:  intra16x16_pred.c
        0.55 real         0.09 user         0.01 sys
        0.57 real         0.09 user         0.01 sys
        0.54 real         0.09 user         0.01 sys
        0.54 real         0.08 user         0.01 sys
        0.54 real         0.08 user         0.01 sys
        0.54 real         0.09 user         0.00 sys
        0.54 real         0.09 user         0.01 sys
        0.55 real         0.08 user         0.00 sys
        0.58 real         0.11 user         0.01 sys
        0.57 real         0.09 user         0.01 sys
Analizing File:  intra16x16_pred_mbaff.c
        0.76 real         0.17 user         0.01 sys
        0.70 real         0.17 user         0.01 sys
        0.70 real         0.16 user         0.01 sys
        0.70 real         0.16 user         0.01 sys
        0.74 real         0.17 user         0.01 sys
        0.81 real         0.19 user         0.01 sys
        0.73 real         0.17 user         0.01 sys
        0.75 real         0.17 user         0.01 sys
        0.78 real         0.18 user         0.01 sys
        0.83 real         0.19 user         0.01 sys
Analizing File:  intra16x16_pred_normal.c
        0.71 real         0.17 user         0.01 sys
        0.73 real         0.17 user         0.01 sys
        0.76 real         0.17 user         0.01 sys
        0.72 real         0.16 user         0.01 sys
        0.78 real         0.20 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.81 real         0.19 user         0.01 sys
        0.86 real         0.19 user         0.01 sys
        0.78 real         0.18 user         0.01 sys
        0.70 real         0.16 user         0.01 sys
Analizing File:  intra4x4_pred.c
        0.54 real         0.09 user         0.01 sys
        0.54 real         0.09 user         0.01 sys
        0.54 real         0.09 user         0.01 sys
        0.55 real         0.09 user         0.00 sys
        0.56 real         0.09 user         0.01 sys
        0.58 real         0.10 user         0.01 sys
        0.54 real         0.09 user         0.01 sys
        0.54 real         0.08 user         0.01 sys
        0.55 real         0.09 user         0.01 sys
        0.56 real         0.09 user         0.01 sys
Analizing File:  intra4x4_pred_mbaff.c
        1.02 real         0.31 user         0.01 sys
        1.05 real         0.33 user         0.01 sys
        1.02 real         0.31 user         0.01 sys
        1.04 real         0.31 user         0.01 sys
        1.03 real         0.31 user         0.01 sys
        1.06 real         0.31 user         0.02 sys
        1.10 real         0.31 user         0.01 sys
        1.04 real         0.31 user         0.01 sys
        1.05 real         0.31 user         0.01 sys
        1.03 real         0.31 user         0.01 sys
Analizing File:  intra4x4_pred_normal.c
        1.04 real         0.31 user         0.01 sys
        1.00 real         0.30 user         0.01 sys
        1.02 real         0.30 user         0.01 sys
        0.99 real         0.29 user         0.01 sys
        0.97 real         0.29 user         0.01 sys
        0.99 real         0.29 user         0.01 sys
        1.02 real         0.30 user         0.01 sys
        1.01 real         0.30 user         0.01 sys
        1.03 real         0.29 user         0.01 sys
        0.99 real         0.29 user         0.01 sys
Analizing File:  intra8x8_pred.c
        0.55 real         0.09 user         0.01 sys
        0.54 real         0.09 user         0.00 sys
        0.55 real         0.09 user         0.01 sys
        0.56 real         0.09 user         0.01 sys
        0.55 real         0.09 user         0.01 sys
        0.59 real         0.09 user         0.01 sys
        0.59 real         0.09 user         0.00 sys
        0.55 real         0.09 user         0.00 sys
        0.54 real         0.09 user         0.01 sys
        0.54 real         0.09 user         0.00 sys
Analizing File:  intra8x8_pred_mbaff.c
        1.77 real         0.60 user         0.01 sys
        1.71 real         0.58 user         0.01 sys
        1.68 real         0.58 user         0.01 sys
        1.73 real         0.59 user         0.01 sys
        1.71 real         0.58 user         0.01 sys
        1.71 real         0.59 user         0.01 sys
        1.72 real         0.59 user         0.01 sys
        1.72 real         0.59 user         0.01 sys
        1.71 real         0.58 user         0.01 sys
        1.76 real         0.60 user         0.03 sys
Analizing File:  intra8x8_pred_normal.c
        1.64 real         0.56 user         0.01 sys
        1.65 real         0.56 user         0.01 sys
        1.67 real         0.56 user         0.01 sys
        1.65 real         0.56 user         0.01 sys
        1.68 real         0.56 user         0.01 sys
        1.67 real         0.55 user         0.01 sys
        1.61 real         0.55 user         0.01 sys
        1.64 real         0.56 user         0.01 sys
        1.62 real         0.55 user         0.01 sys
        1.64 real         0.55 user         0.01 sys
Analizing File:  intra_chroma_pred.c
        1.04 real         0.33 user         0.01 sys
        1.03 real         0.33 user         0.01 sys
        1.05 real         0.33 user         0.01 sys
        1.03 real         0.32 user         0.01 sys
        1.06 real         0.33 user         0.01 sys
        1.05 real         0.33 user         0.01 sys
        1.04 real         0.33 user         0.01 sys
        1.07 real         0.33 user         0.01 sys
        1.04 real         0.33 user         0.01 sys
        1.04 real         0.32 user         0.01 sys
Analizing File:  io_raw.c
        0.49 real         0.05 user         0.01 sys
        0.52 real         0.06 user         0.01 sys
        0.51 real         0.06 user         0.00 sys
        0.51 real         0.06 user         0.00 sys
        0.50 real         0.05 user         0.01 sys
        0.51 real         0.05 user         0.00 sys
        0.50 real         0.05 user         0.00 sys
        0.51 real         0.06 user         0.01 sys
        0.50 real         0.06 user         0.01 sys
        0.51 real         0.06 user         0.01 sys
Analizing File:  io_tiff.c
        0.95 real         0.26 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.98 real         0.25 user         0.02 sys
        0.92 real         0.25 user         0.01 sys
        0.96 real         0.24 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.93 real         0.25 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
Analizing File:  ldecod.c
        1.12 real         0.29 user         0.01 sys
        1.21 real         0.29 user         0.01 sys
        1.14 real         0.29 user         0.01 sys
        1.15 real         0.29 user         0.01 sys
        1.16 real         0.30 user         0.01 sys
        1.13 real         0.29 user         0.01 sys
        1.14 real         0.29 user         0.01 sys
        1.13 real         0.29 user         0.01 sys
        1.15 real         0.29 user         0.01 sys
        1.15 real         0.29 user         0.01 sys
