Analizing File:  tuklib_cpucores.c
Analizing File:  block_header_decoder.c
        0.44 real         0.06 user         0.01 sys
        0.36 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.36 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.37 real         0.07 user         0.00 sys
Analizing File:  block_header_encoder.c
        0.36 real         0.06 user         0.01 sys
        0.35 real         0.07 user         0.01 sys
        0.36 real         0.06 user         0.01 sys
        0.37 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.37 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.37 real         0.07 user         0.01 sys
Analizing File:  block_util.c
        0.36 real         0.04 user         0.01 sys
        0.33 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.43 real         0.05 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.34 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.33 real         0.05 user         0.01 sys
Analizing File:  common.c
        0.69 real         0.13 user         0.01 sys
        0.47 real         0.10 user         0.01 sys
        0.45 real         0.10 user         0.01 sys
        0.45 real         0.10 user         0.01 sys
        0.45 real         0.10 user         0.01 sys
        0.46 real         0.10 user         0.01 sys
        0.45 real         0.10 user         0.01 sys
        0.46 real         0.11 user         0.01 sys
        0.44 real         0.10 user         0.01 sys
        0.44 real         0.09 user         0.01 sys
Analizing File:  easy_buffer_encoder.c
        0.31 real         0.04 user         0.01 sys
        0.27 real         0.03 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.27 real         0.03 user         0.01 sys
        0.34 real         0.04 user         0.01 sys
        0.53 real         0.05 user         0.03 sys
        0.28 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.00 sys
        0.30 real         0.03 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
Analizing File:  easy_decoder_memusage.c
        0.29 real         0.03 user         0.00 sys
        0.35 real         0.04 user         0.01 sys
        0.28 real         0.03 user         0.01 sys
        0.28 real         0.03 user         0.01 sys
        0.29 real         0.03 user         0.01 sys
        0.28 real         0.03 user         0.01 sys
        0.27 real         0.03 user         0.00 sys
        0.30 real         0.03 user         0.01 sys
        0.31 real         0.03 user         0.01 sys
        0.34 real         0.03 user         0.00 sys
Analizing File:  easy_encoder.c
        0.35 real         0.05 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.28 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.00 sys
