Analizing File:  DynaLoader.c
        1.37 real         0.13 user         0.01 sys
Analizing File:  ListUtil.c
        2.54 real         0.52 user         0.01 sys
        2.54 real         0.52 user         0.01 sys
        2.49 real         0.52 user         0.01 sys
        2.58 real         0.52 user         0.01 sys
        2.52 real         0.52 user         0.01 sys
        2.51 real         0.52 user         0.01 sys
        2.51 real         0.52 user         0.01 sys
        2.58 real         0.55 user         0.01 sys
        2.50 real         0.52 user         0.01 sys
        2.57 real         0.53 user         0.01 sys
Analizing File:  HiRes.c
        1.41 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
Analizing File:  deb.c
        1.20 real         0.06 user         0.01 sys
        1.16 real         0.06 user         0.01 sys
        1.18 real         0.06 user         0.01 sys
        1.16 real         0.06 user         0.01 sys
        1.16 real         0.06 user         0.01 sys
        1.18 real         0.06 user         0.01 sys
        1.17 real         0.06 user         0.01 sys
        1.19 real         0.07 user         0.01 sys
        1.19 real         0.06 user         0.01 sys
        1.20 real         0.06 user         0.01 sys
Analizing File:  Dumper.c
        2.02 real         0.34 user         0.01 sys
        1.96 real         0.33 user         0.01 sys
        1.96 real         0.34 user         0.01 sys
        1.95 real         0.33 user         0.01 sys
        1.94 real         0.33 user         0.01 sys
        1.96 real         0.33 user         0.01 sys
        1.96 real         0.34 user         0.01 sys
        1.94 real         0.33 user         0.01 sys
        1.94 real         0.33 user         0.01 sys
        1.98 real         0.33 user         0.01 sys
Analizing File:  IO.c
        1.40 real         0.14 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
Analizing File:  poll.c
        1.14 real         0.04 user         0.01 sys
        1.13 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.00 sys
        1.13 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.00 sys
        1.12 real         0.05 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
Analizing File:  Cwd.c
        1.39 real         0.12 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.25 real         0.11 user         0.01 sys
        1.25 real         0.11 user         0.01 sys
        1.26 real         0.11 user         0.01 sys
        1.26 real         0.12 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
        1.27 real         0.11 user         0.01 sys
        1.26 real         0.11 user         0.01 sys
Analizing File:  Storable.c
        5.81 real         1.33 user         0.02 sys
        5.15 real         1.33 user         0.02 sys
        5.25 real         1.35 user         0.03 sys
        5.18 real         1.34 user         0.03 sys
        5.14 real         1.33 user         0.03 sys
        5.25 real         1.33 user         0.03 sys
        5.13 real         1.32 user         0.02 sys
        5.15 real         1.32 user         0.03 sys
        5.15 real         1.33 user         0.03 sys
        5.14 real         1.34 user         0.03 sys
Analizing File:  doio.c
        2.01 real         0.29 user         0.01 sys
        1.94 real         0.29 user         0.01 sys
        2.01 real         0.29 user         0.01 sys
        1.97 real         0.30 user         0.01 sys
        1.96 real         0.29 user         0.01 sys
        1.96 real         0.29 user         0.01 sys
        1.93 real         0.29 user         0.01 sys
        1.94 real         0.29 user         0.01 sys
