Analizing File:  DynaLoader.c
        1.39 real         0.13 user         0.01 sys
Analizing File:  ListUtil.c
        2.68 real         0.53 user         0.01 sys
        2.50 real         0.52 user         0.01 sys
        2.52 real         0.52 user         0.01 sys
        2.67 real         0.55 user         0.02 sys
        2.52 real         0.54 user         0.01 sys
        2.51 real         0.52 user         0.01 sys
        2.53 real         0.52 user         0.01 sys
        2.56 real         0.52 user         0.01 sys
        2.49 real         0.52 user         0.01 sys
        2.64 real         0.53 user         0.01 sys
Analizing File:  HiRes.c
        1.49 real         0.15 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.43 real         0.15 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.43 real         0.15 user         0.01 sys
Analizing File:  deb.c
        1.27 real         0.07 user         0.01 sys
        1.21 real         0.06 user         0.01 sys
        1.21 real         0.06 user         0.01 sys
        1.18 real         0.06 user         0.01 sys
        1.18 real         0.06 user         0.01 sys
        1.22 real         0.06 user         0.01 sys
        1.19 real         0.06 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.17 real         0.06 user         0.01 sys
        1.19 real         0.06 user         0.01 sys
Analizing File:  Dumper.c
        2.03 real         0.34 user         0.01 sys
        1.98 real         0.33 user         0.01 sys
        1.95 real         0.33 user         0.01 sys
        1.98 real         0.33 user         0.01 sys
        1.97 real         0.33 user         0.01 sys
        1.96 real         0.33 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.96 real         0.32 user         0.01 sys
        1.95 real         0.34 user         0.01 sys
Analizing File:  IO.c
        1.40 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
Analizing File:  poll.c
        1.21 real         0.04 user         0.01 sys
        1.13 real         0.04 user         0.00 sys
        1.12 real         0.04 user         0.00 sys
        1.14 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.14 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
Analizing File:  Cwd.c
        1.39 real         0.11 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
        1.27 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
        1.26 real         0.11 user         0.01 sys
        1.27 real         0.11 user         0.01 sys
        1.27 real         0.11 user         0.01 sys
        1.26 real         0.11 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
Analizing File:  Storable.c
        5.35 real         1.34 user         0.03 sys
        5.18 real         1.33 user         0.03 sys
        5.39 real         1.32 user         0.03 sys
        5.27 real         1.32 user         0.03 sys
        5.14 real         1.32 user         0.03 sys
        5.23 real         1.32 user         0.03 sys
        5.14 real         1.32 user         0.03 sys
        5.25 real         1.32 user         0.03 sys
        5.18 real         1.32 user         0.03 sys
        5.15 real         1.32 user         0.03 sys
Analizing File:  doio.c
        2.07 real         0.29 user         0.01 sys
        1.95 real         0.29 user         0.01 sys
        1.95 real         0.29 user         0.01 sys
        1.93 real         0.28 user         0.01 sys
        1.95 real         0.29 user         0.01 sys
        1.96 real         0.29 user         0.01 sys
        1.92 real         0.29 user         0.01 sys
        1.93 real         0.29 user         0.01 sys
        1.96 real         0.29 user         0.01 sys
        1.93 real         0.29 user         0.01 sys
Analizing File:  doop.c
        1.81 real         0.23 user         0.01 sys
        1.73 real         0.23 user         0.01 sys
        1.74 real         0.23 user         0.01 sys
        1.71 real         0.23 user         0.01 sys
        1.72 real         0.23 user         0.01 sys
        1.72 real         0.23 user         0.01 sys
        1.73 real         0.23 user         0.01 sys
        1.73 real         0.23 user         0.01 sys
        1.74 real         0.23 user         0.01 sys
        1.73 real         0.23 user         0.01 sys
Analizing File:  dquote.c
        0.07 real         0.02 user         0.00 sys
        0.10 real         0.03 user         0.01 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.01 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
Analizing File:  dump.c
        2.80 real         0.51 user         0.02 sys
        2.70 real         0.50 user         0.01 sys
        2.69 real         0.51 user         0.01 sys
        2.66 real         0.50 user         0.01 sys
        2.70 real         0.52 user         0.01 sys
        2.70 real         0.50 user         0.01 sys
        2.70 real         0.50 user         0.01 sys
        2.67 real         0.50 user         0.01 sys
        2.68 real         0.50 user         0.01 sys
        2.80 real         0.52 user         0.01 sys
Analizing File:  Peek.c
        1.45 real         0.15 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        2.15 real         0.20 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.38 real         0.17 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
Analizing File:  Glob.c
        1.36 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.30 real         0.13 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.35 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
Analizing File:  bsd_glob.c
        1.41 real         0.12 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
Analizing File:  Util.c
        1.37 real         0.12 user         0.01 sys
        1.34 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.39 real         0.12 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
Analizing File:  FieldHash.c
        1.36 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.37 real         0.12 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
Analizing File:  scalar.c
        1.32 real         0.10 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.19 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.21 real         0.10 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.00 sys
        1.22 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
Analizing File:  via.c
        1.45 real         0.15 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.43 real         0.14 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
Analizing File:  Hostname.c
        1.12 real         0.03 user         0.01 sys
        1.07 real         0.03 user         0.01 sys
        1.07 real         0.03 user         0.01 sys
        1.06 real         0.03 user         0.01 sys
        1.06 real         0.03 user         0.01 sys
        1.09 real         0.04 user         0.01 sys
        1.07 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.15 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.01 sys
Analizing File:  NamedCapture.c
        1.17 real         0.08 user         0.01 sys
        1.10 real         0.08 user         0.01 sys
        1.10 real         0.08 user         0.01 sys
        1.11 real         0.07 user         0.00 sys
        1.11 real         0.07 user         0.01 sys
        1.14 real         0.08 user         0.01 sys
        1.10 real         0.08 user         0.01 sys
        1.10 real         0.07 user         0.01 sys
        1.11 real         0.07 user         0.00 sys
        1.15 real         0.07 user         0.01 sys
Analizing File:  stdio.c
        0.12 real         0.03 user         0.00 sys
        0.13 real         0.03 user         0.01 sys
        0.14 real         0.04 user         0.01 sys
        0.14 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.13 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.43 real         0.15 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
Analizing File:  attributes.c
        1.29 real         0.08 user         0.01 sys
        1.24 real         0.08 user         0.00 sys
        1.21 real         0.08 user         0.00 sys
        1.23 real         0.09 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.23 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.22 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
Analizing File:  mro.c
        1.47 real         0.16 user         0.01 sys
        1.45 real         0.15 user         0.01 sys
        1.42 real         0.15 user         0.00 sys
