Analizing File:  DynaLoader.c
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.01 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
Analizing File:  Base64.c
        1.44 real         0.14 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.40 real         0.14 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.42 real         0.15 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.43 real         0.15 user         0.01 sys
        1.40 real         0.14 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
Analizing File:  ListUtil.c
        2.92 real         0.89 user         0.02 sys
        2.66 real         0.63 user         0.01 sys
        2.62 real         0.61 user         0.01 sys
        2.63 real         0.62 user         0.01 sys
        2.63 real         0.65 user         0.01 sys
        2.61 real         0.62 user         0.01 sys
        2.62 real         0.62 user         0.01 sys
        2.64 real         0.64 user         0.01 sys
        2.62 real         0.62 user         0.01 sys
        2.62 real         0.61 user         0.01 sys
Analizing File:  HiRes.c
        1.35 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
Analizing File:  deb.c
        1.19 real         0.07 user         0.01 sys
        1.19 real         0.07 user         0.01 sys
        1.17 real         0.07 user         0.01 sys
        1.19 real         0.07 user         0.01 sys
        1.19 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.17 real         0.07 user         0.01 sys
        1.24 real         0.07 user         0.01 sys
        1.21 real         0.07 user         0.01 sys
Analizing File:  Dumper.c
        2.41 real         0.78 user         0.01 sys
        2.38 real         0.76 user         0.01 sys
        2.41 real         0.77 user         0.01 sys
        2.41 real         0.77 user         0.01 sys
        2.40 real         0.78 user         0.01 sys
        2.45 real         0.77 user         0.01 sys
        2.38 real         0.76 user         0.01 sys
        2.52 real         0.79 user         0.02 sys
        2.37 real         0.76 user         0.01 sys
        2.37 real         0.76 user         0.01 sys
Analizing File:  IO.c
        1.36 real         0.16 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
Analizing File:  poll.c
        1.15 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.00 sys
        1.12 real         0.05 user         0.01 sys
        1.12 real         0.05 user         0.01 sys
        1.12 real         0.05 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.14 real         0.05 user         0.01 sys
        1.13 real         0.04 user         0.01 sys
        1.15 real         0.05 user         0.01 sys
        1.14 real         0.05 user         0.01 sys
Analizing File:  Cwd.c
        1.34 real         0.13 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
        1.28 real         0.13 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.29 real         0.13 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.26 real         0.12 user         0.01 sys
Analizing File:  Storable.c
        5.46 real         1.61 user         0.02 sys
        5.45 real         1.64 user         0.03 sys
        5.45 real         1.63 user         0.03 sys
        5.47 real         1.62 user         0.03 sys
        5.45 real         1.63 user         0.03 sys
        5.42 real         1.63 user         0.03 sys
        5.48 real         1.61 user         0.03 sys
        5.47 real         1.62 user         0.03 sys
        5.52 real         1.63 user         0.03 sys
        5.71 real         1.62 user         0.03 sys
Analizing File:  doio.c
        2.08 real         0.39 user         0.01 sys
        2.05 real         0.39 user         0.01 sys
        2.14 real         0.40 user         0.01 sys
        2.05 real         0.38 user         0.01 sys
        2.02 real         0.38 user         0.01 sys
        2.02 real         0.38 user         0.01 sys
        2.04 real         0.39 user         0.01 sys
        2.08 real         0.41 user         0.01 sys
        2.03 real         0.39 user         0.01 sys
        2.06 real         0.40 user         0.01 sys
Analizing File:  doop.c
        1.82 real         0.33 user         0.01 sys
        2.14 real         0.34 user         0.01 sys
        1.81 real         0.33 user         0.01 sys
        1.83 real         0.33 user         0.01 sys
        1.81 real         0.33 user         0.01 sys
        1.81 real         0.33 user         0.01 sys
        1.82 real         0.33 user         0.01 sys
        1.87 real         0.34 user         0.01 sys
        1.83 real         0.33 user         0.01 sys
        1.84 real         0.34 user         0.01 sys
Analizing File:  dquote.c
        0.07 real         0.02 user         0.00 sys
