Analizing File:  DynaLoader.c
        1.44 real         0.16 user         0.01 sys
Analizing File:  ListUtil.c
        2.61 real         0.62 user         0.01 sys
        2.64 real         0.62 user         0.01 sys
        2.70 real         0.67 user         0.02 sys
        2.60 real         0.61 user         0.01 sys
        2.62 real         0.61 user         0.01 sys
        2.59 real         0.61 user         0.01 sys
        2.59 real         0.61 user         0.01 sys
        2.73 real         0.62 user         0.01 sys
        2.59 real         0.61 user         0.01 sys
        2.65 real         0.61 user         0.01 sys
Analizing File:  HiRes.c
        1.39 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.38 real         0.16 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.42 real         0.16 user         0.01 sys
Analizing File:  deb.c
        1.21 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.17 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.21 real         0.07 user         0.01 sys
        1.19 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
Analizing File:  Dumper.c
        2.51 real         0.81 user         0.01 sys
        2.42 real         0.78 user         0.01 sys
        2.58 real         0.77 user         0.01 sys
        2.40 real         0.77 user         0.01 sys
        2.38 real         0.76 user         0.01 sys
        2.43 real         0.78 user         0.01 sys
        2.45 real         0.76 user         0.01 sys
        2.49 real         0.79 user         0.01 sys
        2.40 real         0.76 user         0.01 sys
        2.39 real         0.77 user         0.01 sys
Analizing File:  IO.c
        1.35 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
Analizing File:  poll.c
        1.13 real         0.05 user         0.01 sys
        1.11 real         0.05 user         0.01 sys
        1.12 real         0.05 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.13 real         0.05 user         0.01 sys
        1.13 real         0.05 user         0.01 sys
        1.12 real         0.05 user         0.01 sys
        1.11 real         0.05 user         0.01 sys
        1.11 real         0.05 user         0.00 sys
        1.16 real         0.05 user         0.01 sys
Analizing File:  Cwd.c
        1.29 real         0.12 user         0.01 sys
        1.26 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.27 real         0.12 user         0.01 sys
        1.27 real         0.13 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
        1.27 real         0.12 user         0.01 sys
        1.27 real         0.12 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
        1.27 real         0.12 user         0.01 sys
Analizing File:  Storable.c
        5.47 real         1.61 user         0.03 sys
        5.77 real         1.85 user         0.04 sys
        5.45 real         1.63 user         0.03 sys
        5.47 real         1.62 user         0.03 sys
        5.43 real         1.63 user         0.03 sys
        5.41 real         1.61 user         0.03 sys
        5.44 real         1.61 user         0.03 sys
        5.50 real         1.66 user         0.03 sys
        5.61 real         1.64 user         0.03 sys
        5.43 real         1.61 user         0.03 sys
Analizing File:  doio.c
        2.04 real         0.38 user         0.01 sys
        2.14 real         0.40 user         0.01 sys
        2.02 real         0.38 user         0.01 sys
        2.05 real         0.39 user         0.01 sys
        2.03 real         0.39 user         0.01 sys
        2.07 real         0.40 user         0.01 sys
        2.02 real         0.39 user         0.01 sys
        2.03 real         0.38 user         0.01 sys
        2.05 real         0.40 user         0.01 sys
        2.02 real         0.38 user         0.01 sys
Analizing File:  doop.c
        1.83 real         0.34 user         0.01 sys
        1.85 real         0.34 user         0.01 sys
        1.82 real         0.33 user         0.01 sys
        1.84 real         0.33 user         0.01 sys
        1.81 real         0.33 user         0.01 sys
        1.85 real         0.33 user         0.01 sys
        1.80 real         0.33 user         0.01 sys
        1.83 real         0.33 user         0.01 sys
        1.81 real         0.33 user         0.01 sys
        1.89 real         0.37 user         0.01 sys
Analizing File:  dquote.c
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.01 sys
        0.09 real         0.03 user         0.01 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
Analizing File:  dump.c
        2.83 real         0.59 user         0.01 sys
        2.78 real         0.60 user         0.01 sys
        2.77 real         0.59 user         0.01 sys
        2.83 real         0.60 user         0.01 sys
        2.76 real         0.59 user         0.01 sys
        2.75 real         0.59 user         0.01 sys
        2.77 real         0.60 user         0.01 sys
        2.81 real         0.59 user         0.01 sys
        2.78 real         0.59 user         0.01 sys
        2.85 real         0.59 user         0.01 sys
Analizing File:  Peek.c
        1.33 real         0.16 user         0.01 sys
        1.34 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        1.37 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.38 real         0.17 user         0.01 sys
        1.34 real         0.16 user         0.01 sys
        1.34 real         0.16 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
Analizing File:  Glob.c
        1.33 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
Analizing File:  bsd_glob.c
        1.37 real         0.13 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.35 real         0.12 user         0.01 sys
        1.38 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.34 real         0.12 user         0.01 sys
        1.28 real         0.12 user         0.01 sys
Analizing File:  Util.c
        1.31 real         0.13 user         0.01 sys
        1.32 real         0.13 user         0.01 sys
        1.31 real         0.13 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.30 real         0.12 user         0.00 sys
        1.31 real         0.12 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.33 real         0.12 user         0.01 sys
Analizing File:  FieldHash.c
        1.30 real         0.12 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.55 real         0.14 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
Analizing File:  scalar.c
        1.22 real         0.10 user         0.01 sys
        1.22 real         0.10 user         0.01 sys
        1.20 real         0.10 user         0.01 sys
        1.28 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.21 real         0.10 user         0.01 sys
        1.20 real         0.10 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.19 real         0.10 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
Analizing File:  via.c
        1.38 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
Analizing File:  Hostname.c
        1.08 real         0.03 user         0.01 sys
        1.08 real         0.03 user         0.01 sys
        1.08 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.01 sys
        1.08 real         0.04 user         0.01 sys
        1.06 real         0.03 user         0.00 sys
        1.08 real         0.04 user         0.01 sys
        1.07 real         0.04 user         0.01 sys
        1.07 real         0.04 user         0.01 sys
Analizing File:  NamedCapture.c
        1.10 real         0.08 user         0.01 sys
        1.20 real         0.08 user         0.01 sys
        1.13 real         0.08 user         0.00 sys
        1.12 real         0.08 user         0.01 sys
        1.11 real         0.07 user         0.01 sys
        1.10 real         0.08 user         0.01 sys
        1.11 real         0.07 user         0.01 sys
        1.12 real         0.08 user         0.01 sys
        1.10 real         0.08 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
Analizing File:  stdio.c
        0.13 real         0.03 user         0.01 sys
        0.14 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.01 sys
        0.13 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.35 real         0.15 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
Analizing File:  attributes.c
        1.25 real         0.09 user         0.01 sys
        1.26 real         0.09 user         0.01 sys
        1.23 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.24 real         0.09 user         0.00 sys
        1.24 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.26 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.27 real         0.09 user         0.01 sys
Analizing File:  mro.c
        1.47 real         0.21 user         0.01 sys
        1.46 real         0.20 user         0.01 sys
        1.51 real         0.20 user         0.01 sys
        1.48 real         0.21 user         0.01 sys
        1.47 real         0.20 user         0.01 sys
        1.46 real         0.20 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
        1.48 real         0.21 user         0.01 sys
        1.47 real         0.20 user         0.01 sys
        1.48 real         0.20 user         0.01 sys
Analizing File:  re.c
        1.14 real         0.05 user         0.00 sys
        1.12 real         0.05 user         0.00 sys
        1.11 real         0.05 user         0.00 sys
        1.15 real         0.05 user         0.01 sys
        1.11 real         0.05 user         0.01 sys
        1.18 real         0.06 user         0.01 sys
        1.11 real         0.05 user         0.01 sys
        1.13 real         0.05 user         0.00 sys
        1.15 real         0.05 user         0.01 sys
        1.14 real         0.04 user         0.00 sys
Analizing File:  re_comp.c
       21.58 real        14.05 user         0.09 sys
       21.52 real        14.03 user         0.07 sys
       21.60 real        13.99 user         0.08 sys
       21.33 real        13.88 user         0.07 sys
       21.85 real        14.32 user         0.10 sys
       21.73 real        14.19 user         0.08 sys
       21.45 real        13.93 user         0.07 sys
       21.61 real        14.07 user         0.09 sys
       21.41 real        13.94 user         0.08 sys
       21.55 real        14.07 user         0.08 sys
Analizing File:  re_exec.c
       20.61 real        16.42 user         0.08 sys
       20.48 real        16.18 user         0.07 sys
       20.52 real        16.33 user         0.06 sys
       19.91 real        15.81 user         0.05 sys
       20.47 real        16.34 user         0.06 sys
       20.17 real        16.00 user         0.06 sys
       20.39 real        16.26 user         0.05 sys
       20.01 real        15.87 user         0.07 sys
       20.17 real        16.05 user         0.06 sys
       19.83 real        15.77 user         0.05 sys
Analizing File:  globals.c
        1.92 real         0.14 user         0.01 sys
        1.88 real         0.15 user         0.01 sys
        1.89 real         0.14 user         0.00 sys
        1.87 real         0.14 user         0.01 sys
        1.90 real         0.14 user         0.01 sys
        2.02 real         0.14 user         0.01 sys
        1.88 real         0.13 user         0.01 sys
        1.88 real         0.14 user         0.01 sys
        1.94 real         0.14 user         0.01 sys
        1.96 real         0.14 user         0.01 sys
Analizing File:  gv.c
        3.14 real         0.82 user         0.01 sys
        3.18 real         0.83 user         0.01 sys
        3.19 real         0.83 user         0.01 sys
        3.16 real         0.84 user         0.01 sys
        3.14 real         0.81 user         0.01 sys
        3.12 real         0.82 user         0.01 sys
        3.14 real         0.81 user         0.01 sys
        3.21 real         0.83 user         0.01 sys
        3.18 real         0.83 user         0.02 sys
        3.41 real         0.88 user         0.02 sys
Analizing File:  hv.c
        2.55 real         0.58 user         0.01 sys
        2.61 real         0.58 user         0.01 sys
        2.56 real         0.60 user         0.02 sys
        2.98 real         0.65 user         0.02 sys
        2.57 real         0.59 user         0.02 sys
        2.87 real         0.59 user         0.02 sys
        3.00 real         0.60 user         0.02 sys
        2.78 real         0.63 user         0.02 sys
        3.94 real         0.78 user         0.04 sys
        6.03 real         0.99 user         0.06 sys
Analizing File:  keywords.c
        2.76 real         0.40 user         0.02 sys
        4.05 real         0.90 user         0.05 sys
        3.85 real         0.52 user         0.03 sys
        4.34 real         0.85 user         0.02 sys
        4.55 real         0.76 user         0.03 sys
        4.14 real         0.54 user         0.09 sys
        3.63 real         0.53 user         0.03 sys
        3.86 real         0.55 user         0.03 sys
        4.62 real         0.84 user         0.02 sys
        4.46 real         0.59 user         0.09 sys
Analizing File:  locale.c
        2.69 real         0.07 user         0.01 sys
        2.55 real         0.06 user         0.01 sys
        2.44 real         0.07 user         0.02 sys
        2.86 real         0.09 user         0.02 sys
        2.61 real         0.06 user         0.01 sys
        2.61 real         0.06 user         0.01 sys
        2.76 real         0.09 user         0.01 sys
        2.94 real         0.07 user         0.01 sys
        2.65 real         0.06 user         0.01 sys
        2.87 real         0.08 user         0.02 sys
Analizing File:  mathoms.c
        4.71 real         0.38 user         0.03 sys
        5.08 real         0.39 user         0.03 sys
        4.97 real         0.59 user         0.04 sys
        4.53 real         0.53 user         0.03 sys
        6.35 real         0.61 user         0.03 sys
        6.08 real         0.67 user         0.04 sys
        5.33 real         0.48 user         0.06 sys
        5.05 real         0.45 user         0.04 sys
        4.62 real         0.56 user         0.07 sys
        4.67 real         0.52 user         0.02 sys
Analizing File:  mg.c
        6.53 real         1.29 user         0.04 sys
        8.10 real         1.30 user         0.07 sys
        6.44 real         1.26 user         0.03 sys
        6.33 real         1.26 user         0.03 sys
        6.46 real         1.28 user         0.04 sys
       17.83 real         2.65 user         0.28 sys
       11.33 real         1.93 user         0.12 sys
       10.28 real         1.95 user         0.13 sys
        9.99 real         1.95 user         0.06 sys
       10.04 real         1.97 user         0.06 sys
Analizing File:  mro_core.c
        8.09 real         1.52 user         0.05 sys
        9.02 real         1.57 user         0.14 sys
       12.27 real         1.52 user         0.07 sys
       13.64 real         1.48 user         0.06 sys
        7.20 real         1.10 user         0.04 sys
        5.65 real         1.04 user         0.03 sys
        9.11 real         1.11 user         0.04 sys
       10.62 real         1.50 user         0.06 sys
       10.39 real         1.28 user         0.05 sys
       14.87 real         1.31 user         0.06 sys
Analizing File:  numeric.c
        4.60 real         0.62 user         0.03 sys
        1.84 real         0.19 user         0.01 sys
        1.59 real         0.21 user         0.01 sys
        1.62 real         0.20 user         0.01 sys
        1.59 real         0.21 user         0.01 sys
        1.70 real         0.20 user         0.01 sys
        2.71 real         0.22 user         0.01 sys
        1.66 real         0.22 user         0.01 sys
        1.91 real         0.23 user         0.01 sys
        1.61 real         0.21 user         0.01 sys
Analizing File:  op.c
        8.19 real         3.21 user         0.06 sys
        9.37 real         3.34 user         0.07 sys
        8.89 real         3.16 user         0.06 sys
        7.98 real         2.97 user         0.03 sys
        8.67 real         3.10 user         0.05 sys
        8.91 real         3.16 user         0.05 sys
        8.07 real         3.06 user         0.04 sys
        7.88 real         3.03 user         0.04 sys
        7.83 real         3.01 user         0.03 sys
        7.81 real         2.99 user         0.03 sys
Analizing File:  pad.c
        2.26 real         0.32 user         0.01 sys
        2.53 real         0.38 user         0.02 sys
        2.38 real         0.38 user         0.01 sys
        2.11 real         0.33 user         0.01 sys
        2.35 real         0.34 user         0.01 sys
        2.10 real         0.33 user         0.01 sys
        2.10 real         0.34 user         0.03 sys
        2.06 real         0.35 user         0.01 sys
        2.10 real         0.36 user         0.01 sys
        2.12 real         0.35 user         0.01 sys
Analizing File:  perl.c
        4.23 real         0.57 user         0.02 sys
        3.95 real         0.56 user         0.02 sys
        4.21 real         0.56 user         0.03 sys
        3.67 real         0.51 user         0.01 sys
        3.68 real         0.53 user         0.02 sys
        3.56 real         0.52 user         0.01 sys
        4.26 real         0.63 user         0.02 sys
        4.11 real         0.54 user         0.02 sys
        3.81 real         0.54 user         0.02 sys
        4.35 real         0.55 user         0.04 sys
Analizing File:  perlapi.c
        1.34 real         0.03 user         0.01 sys
        1.24 real         0.03 user         0.00 sys
        1.51 real         0.03 user         0.00 sys
        1.12 real         0.03 user         0.02 sys
        1.30 real         0.03 user         0.00 sys
        1.11 real         0.02 user         0.00 sys
        1.05 real         0.02 user         0.00 sys
        1.11 real         0.02 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.78 real         0.57 user         0.02 sys
        2.54 real         0.50 user         0.01 sys
        2.51 real         0.50 user         0.01 sys
        2.52 real         0.52 user         0.01 sys
        2.71 real         0.54 user         0.01 sys
        3.65 real         0.54 user         0.01 sys
        5.27 real         0.66 user         0.03 sys
        2.99 real         0.57 user         0.02 sys
        2.94 real         0.58 user         0.02 sys
        2.65 real         0.53 user         0.01 sys
Analizing File:  perlmain.c
        1.18 real         0.04 user         0.00 sys
        1.35 real         0.04 user         0.00 sys
        1.24 real         0.04 user         0.00 sys
        1.12 real         0.04 user         0.00 sys
        1.21 real         0.04 user         0.00 sys
        1.35 real         0.05 user         0.00 sys
        1.85 real         0.04 user         0.00 sys
        1.20 real         0.04 user         0.00 sys
        1.25 real         0.05 user         0.00 sys
        1.29 real         0.04 user         0.00 sys
Analizing File:  perly.c
        5.33 real         0.82 user         0.01 sys
        2.99 real         0.58 user         0.01 sys
        2.59 real         0.60 user         0.01 sys
        2.58 real         0.60 user         0.01 sys
        2.62 real         0.59 user         0.01 sys
        2.94 real         0.63 user         0.01 sys
        2.77 real         0.61 user         0.01 sys
        4.19 real         0.65 user         0.02 sys
        2.74 real         0.60 user         0.01 sys
        2.63 real         0.60 user         0.01 sys
Analizing File:  pp.c
        5.61 real         1.78 user         0.02 sys
        5.84 real         1.84 user         0.03 sys
        8.41 real         2.05 user         0.05 sys
        6.91 real         1.99 user         0.04 sys
        7.18 real         2.02 user         0.05 sys
        5.77 real         1.83 user         0.03 sys
        6.60 real         1.99 user         0.04 sys
        5.92 real         1.75 user         0.04 sys
        6.16 real         1.87 user         0.02 sys
        9.38 real         2.61 user         0.08 sys
Analizing File:  pp_ctl.c
        5.77 real         1.85 user         0.03 sys
        5.64 real         1.79 user         0.04 sys
        5.47 real         1.75 user         0.03 sys
        6.72 real         1.94 user         0.04 sys
        5.88 real         1.84 user         0.04 sys
        6.00 real         1.79 user         0.03 sys
        5.59 real         1.82 user         0.04 sys
        6.41 real         1.96 user         0.05 sys
        6.08 real         1.91 user         0.07 sys
        6.64 real         1.90 user         0.04 sys
Analizing File:  pp_hot.c
        4.14 real         1.07 user         0.02 sys
        3.73 real         1.02 user         0.02 sys
        4.17 real         1.09 user         0.02 sys
        3.91 real         1.10 user         0.04 sys
        3.89 real         1.07 user         0.02 sys
        3.69 real         1.05 user         0.02 sys
        3.86 real         1.06 user         0.02 sys
        4.12 real         1.10 user         0.02 sys
        4.35 real         1.17 user         0.03 sys
        3.79 real         1.06 user         0.04 sys
Analizing File:  pp_pack.c
        6.88 real         3.84 user         0.07 sys
        7.30 real         3.80 user         0.05 sys
        6.49 real         3.81 user         0.08 sys
        5.87 real         3.51 user         0.02 sys
        5.61 real         3.53 user         0.03 sys
        6.53 real         3.75 user         0.06 sys
        6.26 real         3.70 user         0.07 sys
        6.31 real         3.61 user         0.05 sys
        6.01 real         3.58 user         0.03 sys
        5.77 real         3.61 user         0.03 sys
Analizing File:  pp_sort.c
        2.56 real         0.40 user         0.01 sys
        2.03 real         0.40 user         0.01 sys
        3.27 real         0.48 user         0.06 sys
        1.85 real         0.38 user         0.01 sys
        1.90 real         0.40 user         0.01 sys
        1.92 real         0.39 user         0.03 sys
        1.92 real         0.40 user         0.01 sys
        2.06 real         0.39 user         0.01 sys
        1.96 real         0.39 user         0.01 sys
        2.13 real         0.41 user         0.01 sys
Analizing File:  pp_sys.c
        3.75 real         0.86 user         0.02 sys
        3.74 real         0.89 user         0.02 sys
        4.30 real         0.95 user         0.03 sys
        4.18 real         0.92 user         0.02 sys
        3.48 real         0.86 user         0.03 sys
        3.38 real         0.83 user         0.02 sys
        3.92 real         0.88 user         0.02 sys
        3.51 real         0.85 user         0.02 sys
        7.85 real         1.00 user         0.05 sys
        3.65 real         0.88 user         0.02 sys
Analizing File:  reentr.c
        1.26 real         0.03 user         0.00 sys
        1.15 real         0.03 user         0.00 sys
        1.27 real         0.03 user         0.00 sys
        1.32 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
