Analizing File:  DynaLoader.c
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
Analizing File:  dump.c
        2.92 real         0.52 user         0.01 sys
        2.78 real         0.52 user         0.01 sys
        2.91 real         0.53 user         0.02 sys
        3.38 real         0.53 user         0.01 sys
        2.86 real         0.53 user         0.02 sys
        3.42 real         0.58 user         0.02 sys
        2.92 real         0.53 user         0.01 sys
        3.08 real         0.56 user         0.02 sys
        2.87 real         0.52 user         0.01 sys
        2.83 real         0.55 user         0.01 sys
Analizing File:  Peek.c
        1.37 real         0.14 user         0.01 sys
        1.55 real         0.16 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        2.29 real         0.16 user         0.01 sys
        1.58 real         0.16 user         0.01 sys
        1.39 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.40 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.46 real         0.14 user         0.01 sys
Analizing File:  Glob.c
        1.32 real         0.12 user         0.01 sys
        1.33 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.38 real         0.12 user         0.01 sys
        1.32 real         0.12 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.41 real         0.13 user         0.01 sys
        1.29 real         0.12 user         0.00 sys
        1.44 real         0.12 user         0.01 sys
        1.47 real         0.12 user         0.01 sys
Analizing File:  bsd_glob.c
        1.78 real         0.12 user         0.01 sys
        1.38 real         0.11 user         0.01 sys
        1.40 real         0.13 user         0.01 sys
        1.36 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.00 sys
        1.49 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.00 sys
        1.33 real         0.11 user         0.00 sys
        1.42 real         0.12 user         0.01 sys
        1.43 real         0.12 user         0.01 sys
Analizing File:  Util.c
        1.50 real         0.13 user         0.01 sys
        1.41 real         0.12 user         0.01 sys
        1.42 real         0.12 user         0.01 sys
        2.04 real         0.12 user         0.01 sys
        1.48 real         0.12 user         0.01 sys
        1.40 real         0.13 user         0.01 sys
        1.33 real         0.11 user         0.00 sys
        1.71 real         0.12 user         0.01 sys
        1.59 real         0.12 user         0.00 sys
        1.73 real         0.13 user         0.01 sys
Analizing File:  FieldHash.c
        3.20 real         0.14 user         0.01 sys
        2.50 real         0.13 user         0.01 sys
        1.58 real         0.12 user         0.01 sys
        1.43 real         0.12 user         0.01 sys
        1.37 real         0.11 user         0.01 sys
        1.47 real         0.12 user         0.01 sys
        1.38 real         0.12 user         0.01 sys
        1.46 real         0.12 user         0.01 sys
        2.53 real         0.18 user         0.01 sys
        1.61 real         0.12 user         0.01 sys
Analizing File:  scalar.c
        1.41 real         0.11 user         0.01 sys
        1.30 real         0.09 user         0.00 sys
        1.35 real         0.10 user         0.01 sys
        1.84 real         0.09 user         0.01 sys
        1.27 real         0.09 user         0.01 sys
        1.30 real         0.10 user         0.01 sys
        1.29 real         0.10 user         0.01 sys
        1.31 real         0.10 user         0.00 sys
        1.84 real         0.12 user         0.01 sys
        1.36 real         0.10 user         0.01 sys
Analizing File:  via.c
        1.71 real         0.19 user         0.01 sys
        1.52 real         0.15 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.79 real         0.17 user         0.01 sys
        1.70 real         0.17 user         0.01 sys
        1.57 real         0.16 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
        1.66 real         0.17 user         0.01 sys
Analizing File:  Hostname.c
        1.23 real         0.04 user         0.01 sys
        1.14 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.00 sys
        1.20 real         0.04 user         0.00 sys
        1.24 real         0.04 user         0.00 sys
        1.13 real         0.04 user         0.01 sys
        1.32 real         0.03 user         0.00 sys
        1.20 real         0.04 user         0.00 sys
        1.12 real         0.03 user         0.00 sys
        1.58 real         0.05 user         0.01 sys
Analizing File:  NamedCapture.c
