FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-0,"set(['19', '8'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-2,"set(['19', '20'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-8,"set(['19', '20'])",set([])
SDL_yuv.c,SDL_ConvertPixels_YUY2_to_YVYU-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_YUY2_to_UYVY-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_RGB_to_YUV-1,set(['8']),set([])
SDL_yuv.c,SDL_ConvertPixels_RGB_to_YUV-2,set(['8']),set([])
SDL_yuv.c,SDL_ConvertPixels_PackUVPlanes_to_NV-9,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_PackUVPlanes_to_NV-6,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_PackUVPlanes_to_NV-7,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_PackUVPlanes_to_NV-4,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_PackUVPlanes_to_NV-8,"set(['8', '21'])",set([])
SDL_yuv.c,SDL_ConvertPixels_UYVY_to_YVYU-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_UYVY_to_YUY2-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_Packed4_to_Planar2x2-9,"set(['11', '29'])",set([])
SDL_yuv.c,SDL_ConvertPixels_Packed4_to_Planar2x2-8,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Packed4_to_Planar2x2-4,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Packed4_to_Planar2x2-3,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Packed4_to_Planar2x2-2,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_YVYU_to_YUY2-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Planar2x2-3,set(['5']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Planar2x2-2,set(['5']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Planar2x2-1,set(['5']),set([])
SDL_yuv.c,SDL_ConvertPixels_YVYU_to_UYVY-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_YUV_to_RGB-1,set(['16']),set([])
SDL_yuv.c,SDL_ConvertPixels_SplitNV_to_UVPlanes-8,"set(['8', '21'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SplitNV_to_UVPlanes-9,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_SplitNV_to_UVPlanes-6,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_SplitNV_to_UVPlanes-7,set(['21']),set([])
SDL_yuv.c,SDL_ConvertPixels_SplitNV_to_UVPlanes-4,set(['21']),set([])
SDL_pixels.c,SDL_DitherColors-1,set(['7']),set([])
SDL_pixels.c,SDL_InitFormat-2,"set(['12', '43'])",set([])
SDL_pixels.c,Map1toN-2,set(['15']),set([])
SDL_pixels.c,Map1to1-2,set(['14']),set([])
SDL_pixels.c,SDL_FreeFormat_REAL-1,"set(['18', '15', '14'])",set([])
SDL_pixels.c,SDL_CalculateGammaRamp_REAL-1,"set(['13', '21'])",set([])
