Analizing File:  tga.c
Analizing File:  color.c
        1.92 real         0.32 user         0.01 sys
        1.89 real         0.33 user         0.01 sys
        1.89 real         0.32 user         0.01 sys
        1.86 real         0.32 user         0.01 sys
        1.90 real         0.33 user         0.01 sys
        2.08 real         0.33 user         0.01 sys
        2.01 real         0.33 user         0.01 sys
        1.91 real         0.34 user         0.01 sys
        1.93 real         0.33 user         0.01 sys
        1.89 real         0.33 user         0.01 sys
Analizing File:  colormap.c
        0.87 real         0.07 user         0.01 sys
        0.87 real         0.07 user         0.01 sys
        0.86 real         0.07 user         0.01 sys
        0.88 real         0.07 user         0.01 sys
        0.86 real         0.07 user         0.01 sys
        0.85 real         0.07 user         0.01 sys
        0.90 real         0.07 user         0.01 sys
        0.87 real         0.07 user         0.01 sys
        0.85 real         0.07 user         0.01 sys
        0.84 real         0.07 user         0.01 sys
Analizing File:  colorspace.c
        1.73 real         0.42 user         0.01 sys
        1.71 real         0.41 user         0.01 sys
        1.70 real         0.41 user         0.01 sys
        1.76 real         0.48 user         0.01 sys
        1.69 real         0.41 user         0.01 sys
        1.71 real         0.41 user         0.01 sys
        1.69 real         0.41 user         0.01 sys
        1.69 real         0.41 user         0.01 sys
        1.70 real         0.41 user         0.01 sys
        1.69 real         0.41 user         0.01 sys
Analizing File:  compare.c
        1.58 real         0.33 user         0.01 sys
        1.59 real         0.34 user         0.01 sys
        1.73 real         0.36 user         0.01 sys
        1.69 real         0.35 user         0.01 sys
        1.68 real         0.36 user         0.01 sys
        1.69 real         0.34 user         0.01 sys
        1.65 real         0.35 user         0.01 sys
        1.65 real         0.34 user         0.01 sys
        1.73 real         0.35 user         0.01 sys
        1.71 real         0.37 user         0.01 sys
Analizing File:  composite.c
        2.39 real         0.75 user         0.02 sys
        2.59 real         0.82 user         0.02 sys
        2.45 real         0.77 user         0.02 sys
        2.37 real         0.74 user         0.02 sys
        2.29 real         0.72 user         0.01 sys
        2.25 real         0.72 user         0.01 sys
        2.23 real         0.72 user         0.02 sys
        2.21 real         0.72 user         0.01 sys
        2.23 real         0.72 user         0.01 sys
        2.22 real         0.71 user         0.01 sys
Analizing File:  compress.c
        1.26 real         0.25 user         0.01 sys
        1.27 real         0.26 user         0.01 sys
        1.25 real         0.25 user         0.01 sys
        1.29 real         0.24 user         0.01 sys
        1.32 real         0.26 user         0.01 sys
        1.34 real         0.27 user         0.01 sys
        1.31 real         0.26 user         0.01 sys
        1.31 real         0.27 user         0.01 sys
        1.27 real         0.26 user         0.01 sys
        1.32 real         0.25 user         0.01 sys
Analizing File:  configure.c
        0.94 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.91 real         0.11 user         0.01 sys
        0.94 real         0.12 user         0.01 sys
        0.93 real         0.12 user         0.01 sys
        0.92 real         0.12 user         0.01 sys
        0.92 real         0.11 user         0.01 sys
        0.99 real         0.13 user         0.01 sys
        0.91 real         0.11 user         0.01 sys
        0.92 real         0.12 user         0.01 sys
Analizing File:  constitute.c
        1.32 real         0.19 user         0.01 sys
        1.22 real         0.20 user         0.01 sys
        1.31 real         0.19 user         0.01 sys
        1.34 real         0.19 user         0.01 sys
        1.27 real         0.20 user         0.01 sys
        1.27 real         0.19 user         0.01 sys
        1.30 real         0.20 user         0.01 sys
        1.33 real         0.20 user         0.01 sys
        1.20 real         0.19 user         0.01 sys
        1.69 real         0.20 user         0.01 sys
Analizing File:  decorate.c
        2.34 real         0.30 user         0.01 sys
        1.21 real         0.24 user         0.01 sys
        1.18 real         0.23 user         0.01 sys
        1.63 real         0.28 user         0.01 sys
        1.23 real         0.25 user         0.01 sys
        1.22 real         0.23 user         0.01 sys
        1.24 real         0.23 user         0.01 sys
        1.22 real         0.23 user         0.01 sys
        1.29 real         0.24 user         0.01 sys
        1.34 real         0.24 user         0.01 sys
Analizing File:  delegate.c
        1.08 real         0.17 user         0.01 sys
        1.12 real         0.17 user         0.01 sys
        1.43 real         0.18 user         0.01 sys
        1.14 real         0.19 user         0.01 sys
        1.19 real         0.19 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
        1.10 real         0.18 user         0.01 sys
        1.14 real         0.18 user         0.01 sys
        1.12 real         0.18 user         0.01 sys
        1.14 real         0.17 user         0.01 sys
Analizing File:  deprecate.c
        2.50 real         0.58 user         0.02 sys
        2.79 real         0.71 user         0.03 sys
        2.60 real         0.58 user         0.03 sys
        2.45 real         0.57 user         0.02 sys
        2.77 real         0.61 user         0.02 sys
        2.59 real         0.59 user         0.02 sys
        2.48 real         0.58 user         0.02 sys
        2.40 real         0.56 user         0.01 sys
        2.54 real         0.59 user         0.02 sys
        2.52 real         0.58 user         0.03 sys
Analizing File:  display.c
        0.81 real         0.04 user         0.01 sys
        0.83 real         0.04 user         0.01 sys
        0.86 real         0.04 user         0.01 sys
        0.89 real         0.04 user         0.01 sys
        0.84 real         0.04 user         0.01 sys
        0.79 real         0.03 user         0.01 sys
        0.79 real         0.04 user         0.01 sys
        0.81 real         0.04 user         0.01 sys
        0.83 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
Analizing File:  distort.c
        2.17 real         0.61 user         0.02 sys
        2.13 real         0.60 user         0.01 sys
        2.14 real         0.60 user         0.02 sys
        2.09 real         0.59 user         0.01 sys
        2.14 real         0.61 user         0.02 sys
        2.15 real         0.60 user         0.01 sys
        2.17 real         0.60 user         0.01 sys
        2.19 real         0.60 user         0.02 sys
        2.17 real         0.59 user         0.01 sys
        2.22 real         0.61 user         0.01 sys
Analizing File:  distribute-cache.c
        1.21 real         0.10 user         0.01 sys
        0.94 real         0.09 user         0.01 sys
        1.02 real         0.09 user         0.01 sys
        0.89 real         0.09 user         0.01 sys
        0.97 real         0.09 user         0.01 sys
        1.12 real         0.10 user         0.01 sys
        1.16 real         0.10 user         0.01 sys
        1.02 real         0.11 user         0.01 sys
        0.98 real         0.10 user         0.01 sys
        1.13 real         0.10 user         0.01 sys
Analizing File:  draw.c
        3.43 real         1.18 user         0.04 sys
        3.48 real         1.18 user         0.02 sys
        4.15 real         1.22 user         0.03 sys
        3.50 real         1.21 user         0.03 sys
        3.59 real         1.23 user         0.03 sys
        3.81 real         1.22 user         0.02 sys
        3.57 real         1.19 user         0.02 sys
        3.48 real         1.16 user         0.02 sys
        3.55 real         1.18 user         0.02 sys
        3.66 real         1.19 user         0.02 sys
Analizing File:  effect.c
        2.93 real         0.83 user         0.02 sys
        2.68 real         0.76 user         0.02 sys
        2.42 real         0.73 user         0.01 sys
        2.47 real         0.74 user         0.01 sys
        2.65 real         0.77 user         0.02 sys
        2.74 real         0.80 user         0.02 sys
        2.65 real         0.78 user         0.02 sys
        2.88 real         0.77 user         0.02 sys
        2.54 real         0.75 user         0.01 sys
        2.46 real         0.74 user         0.01 sys
Analizing File:  enhance.c
        2.68 real         0.75 user         0.01 sys
        2.68 real         0.75 user         0.02 sys
        2.69 real         0.76 user         0.02 sys
        2.68 real         0.75 user         0.02 sys
        2.67 real         0.75 user         0.02 sys
        2.66 real         0.75 user         0.01 sys
        2.70 real         0.76 user         0.02 sys
        2.74 real         0.77 user         0.01 sys
        2.68 real         0.75 user         0.02 sys
        2.77 real         0.77 user         0.02 sys
Analizing File:  exception.c
        0.72 real         0.10 user         0.01 sys
        0.71 real         0.10 user         0.01 sys
        0.73 real         0.10 user         0.01 sys
        0.71 real         0.10 user         0.01 sys
        0.71 real         0.10 user         0.01 sys
        0.71 real         0.10 user         0.01 sys
        0.70 real         0.10 user         0.01 sys
        0.72 real         0.10 user         0.01 sys
        0.70 real         0.10 user         0.01 sys
        0.71 real         0.10 user         0.01 sys
Analizing File:  feature.c
        1.99 real         0.54 user         0.01 sys
        1.97 real         0.53 user         0.01 sys
        2.00 real         0.54 user         0.01 sys
        1.99 real         0.53 user         0.01 sys
        1.97 real         0.53 user         0.01 sys
        1.97 real         0.54 user         0.01 sys
