Analizing File:  alias.c
        4.18 real         0.48 user         0.01 sys
        2.97 real         0.39 user         0.01 sys
Analizing File:  c-decl.c
       10.68 real         3.74 user         0.05 sys
       10.83 real         3.77 user         0.05 sys
       10.70 real         3.72 user         0.05 sys
       10.75 real         3.78 user         0.06 sys
       10.70 real         3.75 user         0.05 sys
       10.78 real         3.84 user         0.06 sys
       10.61 real         3.68 user         0.05 sys
       10.71 real         3.79 user         0.06 sys
       10.60 real         3.70 user         0.05 sys
       10.82 real         3.70 user         0.05 sys
Analizing File:  c-dump.c
        1.50 real         0.08 user         0.01 sys
        1.54 real         0.10 user         0.01 sys
        1.49 real         0.08 user         0.01 sys
        1.49 real         0.08 user         0.01 sys
        1.49 real         0.08 user         0.01 sys
        1.49 real         0.08 user         0.01 sys
        1.49 real         0.08 user         0.00 sys
        1.49 real         0.08 user         0.01 sys
        1.48 real         0.08 user         0.01 sys
        1.50 real         0.08 user         0.01 sys
Analizing File:  c-errors.c
        1.54 real         0.09 user         0.01 sys
        1.50 real         0.08 user         0.01 sys
        1.52 real         0.09 user         0.01 sys
        1.50 real         0.08 user         0.01 sys
        1.50 real         0.08 user         0.01 sys
        1.48 real         0.08 user         0.00 sys
        1.50 real         0.08 user         0.01 sys
        1.49 real         0.08 user         0.01 sys
        1.50 real         0.08 user         0.01 sys
        1.52 real         0.09 user         0.01 sys
Analizing File:  c-format.c
        3.44 real         0.77 user         0.02 sys
        4.11 real         0.92 user         0.03 sys
        3.46 real         0.79 user         0.02 sys
        3.51 real         0.77 user         0.01 sys
        3.44 real         0.77 user         0.01 sys
        3.46 real         0.79 user         0.02 sys
        3.46 real         0.77 user         0.01 sys
        3.49 real         0.79 user         0.02 sys
        3.46 real         0.77 user         0.01 sys
        3.49 real         0.80 user         0.02 sys
Analizing File:  c-gimplify.c
        3.27 real         0.16 user         0.01 sys
        3.35 real         0.16 user         0.01 sys
        3.38 real         0.16 user         0.01 sys
        3.27 real         0.16 user         0.01 sys
        3.30 real         0.16 user         0.01 sys
        3.27 real         0.16 user         0.01 sys
        3.28 real         0.18 user         0.01 sys
        3.30 real         0.16 user         0.01 sys
        3.27 real         0.16 user         0.01 sys
        3.33 real         0.16 user         0.01 sys
Analizing File:  c-lang.c
        2.60 real         0.13 user         0.01 sys
        2.59 real         0.13 user         0.01 sys
        2.64 real         0.12 user         0.01 sys
        2.59 real         0.13 user         0.01 sys
        2.48 real         0.12 user         0.01 sys
        2.51 real         0.13 user         0.01 sys
        2.49 real         0.12 user         0.01 sys
        2.68 real         0.13 user         0.01 sys
        2.55 real         0.13 user         0.01 sys
        2.54 real         0.12 user         0.01 sys
Analizing File:  c-lex.c
        2.33 real         0.38 user         0.01 sys
        2.37 real         0.39 user         0.01 sys
        2.35 real         0.38 user         0.01 sys
        2.34 real         0.37 user         0.01 sys
        2.36 real         0.38 user         0.01 sys
        2.49 real         0.38 user         0.01 sys
        2.29 real         0.37 user         0.01 sys
        2.36 real         0.38 user         0.01 sys
        2.49 real         0.37 user         0.01 sys
        2.34 real         0.38 user         0.01 sys
Analizing File:  c-objc-common.c
        2.73 real         0.15 user         0.01 sys
        2.78 real         0.14 user         0.01 sys
        2.75 real         0.14 user         0.01 sys
        2.88 real         0.15 user         0.01 sys
        2.89 real         0.15 user         0.01 sys
        2.79 real         0.14 user         0.01 sys
        2.73 real         0.14 user         0.01 sys
        2.83 real         0.15 user         0.01 sys
        2.81 real         0.14 user         0.01 sys
        2.81 real         0.14 user         0.01 sys
Analizing File:  c-omp.c
        2.73 real         0.25 user         0.01 sys
        2.74 real         0.25 user         0.01 sys
        2.72 real         0.25 user         0.01 sys
        2.96 real         0.27 user         0.01 sys
        2.78 real         0.26 user         0.01 sys
        2.77 real         0.26 user         0.01 sys
        2.77 real         0.26 user         0.01 sys
        2.77 real         0.26 user         0.01 sys
        2.84 real         0.26 user         0.01 sys
        2.83 real         0.26 user         0.01 sys
Analizing File:  c-opts.c
        3.16 real         0.31 user         0.01 sys
        3.12 real         0.31 user         0.01 sys
        3.11 real         0.31 user         0.01 sys
        3.11 real         0.32 user         0.01 sys
        3.09 real         0.31 user         0.01 sys
        3.08 real         0.31 user         0.01 sys
        3.08 real         0.31 user         0.01 sys
        3.13 real         0.31 user         0.01 sys
        3.10 real         0.31 user         0.01 sys
        3.09 real         0.31 user         0.01 sys
Analizing File:  c-parser.c
        6.40 real         1.64 user         0.03 sys
        6.04 real         1.63 user         0.03 sys
        6.31 real         1.65 user         0.03 sys
        6.00 real         1.63 user         0.03 sys
        6.04 real         1.65 user         0.03 sys
        5.99 real         1.63 user         0.03 sys
        5.96 real         1.63 user         0.03 sys
        5.98 real         1.63 user         0.03 sys
