FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
tree-call-cdce.c,1688,1688,30,30,0,0
strerror.c,251,251,10,10,0,0
varray.c,120,120,3,3,0,0
tree-ssa-alias.c,4389,4379,148,134,0,0
omega.c,17936,17922,750,742,0,0
host-ieee128.c,28,28,0,0,0,0
obstack.c,557,557,13,13,0,0
tree-predcom.c,7376,7376,182,182,0,0
decNumber.c,14239,14210,743,722,0,0
i386.c,49703,49653,1620,1572,0,0
fibheap.c,623,623,17,17,0,0
cp-demint.c,245,245,9,9,0,0
c-pragma.c,2728,2722,76,74,0,0
floatformat.c,783,783,48,48,0,0
final.c,7242,7242,192,191,0,0
tree-ssa-propagate.c,3293,3293,59,59,0,0
tree-ssa-structalias.c,14522,14521,235,234,0,0
targhooks.c,1058,1058,29,29,0,0
gimple-pretty-print.c,4112,4110,54,53,0,0
lower-subreg.c,3474,3474,77,77,0,0
simplify-rtx.c,21004,20981,437,409,0,0
sched-vis.c,2393,2389,34,32,0,0
calls.c,9007,-1,294,-1,0,-1
bitmap.c,4687,4679,320,316,0,0
tree-ssa-dce.c,4909,4909,100,99,0,0
insn-output.c,5604,5604,119,119,0,0
sched-deps.c,9526,9521,178,172,0,0
explow.c,2445,2445,81,81,0,0
loop-unroll.c,5386,5386,119,119,0,0
tree-profile.c,842,842,6,6,0,0
hashtab.c,1457,1457,73,73,0,0
lambda-code.c,8135,8118,256,240,0,0
cpp_pch.c,1499,1499,40,39,0,0
tree-ssa-sccvn.c,10284,10274,243,234,0,0
pointer-set.c,432,432,13,13,0,0
sparseset.c,539,507,26,10,0,0
strsignal.c,169,169,7,7,0,0
tree-ssa-dom.c,7177,7175,128,127,0,0
decimal64.c,1540,1540,79,79,0,0
sel-sched-dump.c,3538,3538,48,48,0,0
incpath.c,672,672,24,24,0,0
ipa-reference.c,3203,3203,53,53,0,0
sort.c,136,136,7,7,0,0
tree-vect-patterns.c,1697,1689,39,32,0,0
insn-modes.c,47,47,0,0,0,0
expr.c,26111,26005,810,732,0,0
tree-ssa-pre.c,12669,12638,417,386,0,0
lto-wpa-fixup.c,572,572,8,8,0,0
cpp_macro.c,4716,4712,179,174,0,0
intl.c,21,21,1,1,0,0
combine-stack-adj.c,1298,1296,41,39,0,0
reload.c,20644,20608,663,621,0,0
cppdefault.c,18,18,0,0,0,0
statistics.c,555,555,7,7,0,0
lambda-trans.c,59,59,1,1,0,0
store-motion.c,3442,3442,92,91,0,0
c-ppoutput.c,996,996,17,17,0,0
stack-ptr-mod.c,158,158,3,3,0,0
cfglayout.c,4113,4112,124,122,0,0
loop-invariant.c,5448,5447,122,120,0,0
gtype-desc.c,31613,31613,251,251,0,0
tree-ssa-address.c,2168,2168,60,60,0,0
cpp_line-map.c,693,691,47,44,0,0
getpwd.c,89,89,6,6,0,0
c-decl.c,37459,37455,487,482,0,0
ipa-prop.c,5927,5925,137,135,0,0
ipa-pure-const.c,3124,3124,94,93,0,0
cfgloop.c,5458,5458,147,147,0,0
tree-ssa-threadupdate.c,2734,2734,38,38,0,0
convert.c,3022,3013,84,74,0,0
cse.c,17239,17223,702,681,0,0
c-typeck.c,26794,26735,904,861,0,0
tree-vectorizer.c,864,864,19,19,0,0
decimal32.c,908,908,40,40,0,0
cpp_directives-only.c,543,543,51,51,0,0
stor-layout.c,6120,6120,90,88,0,0
dfp.c,1183,1183,9,9,0,0
omp-low.c,17094,-1,363,-1,0,-1
ggc-common.c,1625,1625,46,46,0,0
profile.c,4213,4211,112,111,0,0
expmed.c,13307,13293,584,567,0,0
tree-ssa-loop.c,273,273,16,16,0,0
c-omp.c,1294,1294,40,40,0,0
tree-complex.c,3693,3682,108,101,0,0
cpp_mkdeps.c,824,822,47,46,0,0
host-ieee32.c,22,22,0,0,0,0
tree-ssa-math-opts.c,3306,3298,118,113,0,0
gcse.c,10611,10605,292,286,0,0
cpp_symtab.c,844,844,35,35,0,0
df-core.c,4303,4291,100,88,0,0
combine.c,39514,39467,1117,1062,0,0
jump.c,4096,4087,120,113,0,0
attribs.c,905,905,23,23,0,0
gimple-iterator.c,1682,1682,19,19,0,0
xmalloc.c,73,73,5,5,0,0
except.c,6339,6339,254,253,0,0
varasm.c,16130,16096,427,405,0,0
filename_cmp.c,4,4,0,0,0,0
cgraphunit.c,5096,5096,130,130,0,0
tree-object-size.c,3538,3535,103,101,0,0
rtl.c,1021,1021,11,11,0,0
tree-parloops.c,5337,5335,78,77,0,0
dce.c,3467,3461,90,87,0,0
cpp_errors.c,139,139,5,5,0,0
tree-ssa-loop-ivopts.c,14318,14313,259,256,0,0
hex.c,1,1,0,0,0,0
xstrerror.c,11,11,1,1,0,0
lto-opts.c,661,661,9,9,0,0
cselib.c,4760,4742,171,159,0,0
tree-ssa.c,6150,6144,158,153,0,0
params.c,113,113,2,2,0,0
tree-inline.c,12981,12965,249,234,0,0
tree-vect-generic.c,1670,1669,46,45,0,0
tree-ssa-ifcombine.c,1502,1499,35,32,0,0
alloca.c,90,90,2,2,0,0
mini-gmp.c,10052,10046,437,433,0,0
bt-load.c,4271,4268,100,96,0,0
cfg.c,4121,4121,49,49,0,0
host-ieee64.c,22,22,0,0,0,0
ira-costs.c,4821,4821,167,167,0,0
ipa-utils.c,437,437,9,9,0,0
tree-if-conv.c,3021,3021,56,56,0,0
tree-into-ssa.c,8141,8139,121,119,0,0
dbxout.c,9382,9382,189,187,0,0
tree-ssa-sink.c,1888,1884,61,57,0,0
lto-section-in.c,404,404,12,12,0,0
caller-save.c,3810,3802,122,118,0,0
emit-rtl.c,13596,13594,366,364,0,0
diagnostic.c,1297,1297,12,12,0,0
tree-ssa-forwprop.c,4044,4021,171,156,0,0
tree-ssa-loop-ivcanon.c,1891,1891,44,43,0,0
tree-pretty-print.c,5193,5187,68,65,0,0
gimple.c,12207,12203,230,224,0,0
c-cppbuiltin.c,2871,2870,25,24,0,0
tree-nrv.c,1041,1032,28,26,0,0
tree-ssa-loop-manip.c,3906,3906,64,64,0,0
xstrdup.c,10,10,0,0,0,0
cpp_directives.c,4643,4638,134,128,0,0
tree-vrp.c,16957,16948,521,508,0,0
tree-switch-conversion.c,1921,1912,45,38,0,0
regex.c,12472,12471,1028,1026,0,0
insn-automata.c,8701,8701,111,111,0,0
rtl-error.c,203,203,5,5,0,0
cpp_charset.c,3114,3112,109,107,0,0
tree-chrec.c,3341,3341,76,76,0,0
postreload.c,3981,3981,135,135,0,0
regstat.c,1615,1615,28,28,0,0
sel-sched.c,23769,23755,419,402,0,0
reg-stack.c,8191,8184,250,242,0,0
tree-stdarg.c,3068,3061,81,76,0,0
concat.c,205,205,4,4,0,0
tree-ssa-loop-ch.c,1155,1155,20,20,0,0
loop-init.c,737,737,12,12,0,0
reorg.c,10,10,0,0,0,0
sbitmap.c,2962,2960,153,151,0,0
modulo-sched.c,7653,7646,255,250,0,0
lrealpath.c,3,3,0,0,0,0
c-format.c,4867,4865,193,190,0,0
web.c,1265,1265,36,36,0,0
c-errors.c,62,62,0,0,0,0
stringpool.c,405,405,6,6,0,0
cpp_expr.c,4083,4083,122,122,0,0
stub-objc.c,122,122,0,0,0,0
tree-optimize.c,853,853,10,10,0,0
tree-ssa-threadedge.c,2248,2242,68,64,0,0
xatexit.c,67,67,4,4,0,0
tree-tailcall.c,2992,2988,83,79,0,0
graphds.c,1261,1261,47,47,0,0
c-convert.c,218,218,4,4,0,0
tree-ssa-loop-unswitch.c,1193,1193,27,27,0,0
dwarf2asm.c,1068,1068,35,35,0,0
lbasename.c,24,24,3,3,0,0
haifa-sched.c,13925,13912,328,317,0,0
value-prof.c,3250,3248,54,53,0,0
stmt.c,6569,6562,253,246,0,0
sched-ebb.c,1684,1683,41,40,0,0
tree-ssa-uncprop.c,2114,2114,19,19,0,0
tracer.c,1191,1191,36,36,0,0
postreload-gcse.c,3425,3423,84,83,0,0
decimal128.c,1472,1472,62,62,0,0
tree-vect-loop-manip.c,4914,4912,83,82,0,0
sese.c,5123,5119,94,90,0,0
cpp_lex.c,5583,5570,206,195,0,0
cpp_init.c,1007,1007,15,15,0,0
xexit.c,9,9,0,0,0,0
unlink-if-ordinary.c,27,27,1,1,0,0
rtlanal.c,13654,13585,418,346,0,0
cpp_files.c,2920,2916,101,97,0,0
ifcvt.c,11529,-1,353,-1,0,-1
coverage.c,2275,2275,84,84,0,0
tree-ssa-copy.c,2276,2274,43,42,0,0
tree-vect-loop.c,9294,9290,313,308,0,0
tree-dump.c,2278,2270,54,50,0,0
et-forest.c,759,759,11,11,0,0
ira-color.c,8628,8582,332,309,0,0
rtlhooks.c,189,189,5,5,0,0
bb-reorder.c,5057,5057,215,215,0,0
c-semantics.c,277,277,6,6,0,0
decContext.c,361,361,5,5,0,0
cgraphbuild.c,724,724,13,13,0,0
mcf.c,3026,3017,76,70,0,0
tree-cfgcleanup.c,2605,2602,76,72,0,0
regrename.c,4000,4000,121,121,0,0
ira-conflicts.c,2920,2906,88,79,0,0
opts-common.c,361,358,25,23,0,0
langhooks.c,835,835,15,15,0,0
cfganal.c,4842,4842,127,127,0,0
xmemdup.c,8,8,0,0,0,0
cfgloopmanip.c,4972,4972,118,117,0,0
tree-ssa-coalesce.c,3773,3771,71,69,0,0
tree-vect-slp.c,5774,5765,198,187,0,0
lto-section-out.c,881,881,21,21,0,0
dominance.c,4360,4360,100,100,0,0
mkstemps.c,120,118,5,3,0,0
cpp_identifiers.c,336,336,1,1,0,0
tree-mudflap.c,2660,2652,62,58,0,0
c-parser.c,13140,13111,500,477,0,0
options.c,4232,4232,0,0,0,0
toplev.c,2954,2954,80,78,0,0
init-regs.c,275,275,7,7,0,0
tree-outof-ssa.c,3761,3759,50,48,0,0
lto-streamer-in.c,7434,7432,90,89,0,0
lto-cgraph.c,2096,2096,39,39,0,0
tree-ssa-loop-prefetch.c,3831,3831,141,141,0,0
tree-ssa-ter.c,1792,1792,32,32,0,0
insn-extract.c,18322,18322,0,0,0,0
print-tree.c,3057,3049,20,16,0,0
plugin.c,920,920,39,39,0,0
builtins.c,16643,16620,440,412,0,0
gimple-low.c,1723,1723,22,22,0,0
resource.c,3064,3064,86,86,0,0
tree-vect-stmts.c,10574,10570,320,313,0,0
main.c,4,4,0,0,0,0
prefix.c,314,314,21,21,0,0
lto-streamer-out.c,6271,6262,73,68,0,0
dbgcnt.c,208,208,7,7,0,0
ipa-struct-reorg.c,8236,8226,217,205,0,0
df-problems.c,9599,9599,181,181,0,0
dse.c,7798,7787,227,217,0,0
hooks.c,134,134,0,0,0,0
FinalResults,1819315,1708772,47517,43868,0,-4
