FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
tree-call-cdce.c,1716,1708,57,52,0,0
strerror.c,265,261,17,15,0,0
varray.c,120,120,3,3,0,0
tree-ssa-alias.c,4516,4450,241,186,0,0
omega.c,19968,18506,1794,1055,0,0
host-ieee128.c,28,28,0,0,0,0
obstack.c,559,557,14,13,0,0
tree-predcom.c,7533,7445,285,239,0,0
decNumber.c,15431,14754,1393,1025,0,0
i386.c,51639,50660,2778,2210,0,0
fibheap.c,631,623,23,19,0,0
cp-demint.c,253,245,16,12,0,0
c-pragma.c,2811,2777,122,105,0,0
floatformat.c,811,787,66,54,0,0
final.c,7625,7379,399,273,0,0
tree-ssa-propagate.c,3364,3314,108,79,0,0
tree-ssa-structalias.c,15005,14629,511,307,0,0
targhooks.c,1096,1066,52,37,0,0
gimple-pretty-print.c,4171,4128,86,64,0,0
lower-subreg.c,3608,3512,161,110,0,0
simplify-rtx.c,21785,21277,892,600,0,0
sched-vis.c,2423,2405,50,41,0,0
calls.c,9431,-1,523,-1,0,-1
bitmap.c,5076,4810,529,395,0,0
tree-ssa-dce.c,5061,4959,197,138,0,0
insn-output.c,5606,-1,125,-1,0,-1
sched-deps.c,9739,9568,303,206,0,0
explow.c,2538,2482,138,109,0,0
loop-unroll.c,5572,5471,217,167,0,0
tree-profile.c,846,842,8,6,0,0
hashtab.c,1490,1483,96,92,0,0
lambda-code.c,8387,8226,423,323,0,0
cpp_pch.c,1537,1526,69,62,0,0
tree-ssa-sccvn.c,10413,10331,354,301,0,0
pointer-set.c,446,432,23,16,0,0
sparseset.c,567,515,41,15,0,0
strsignal.c,175,173,10,9,0,0
tree-ssa-dom.c,7317,7199,218,154,0,0
decimal64.c,1604,1566,114,95,0,0
sel-sched-dump.c,3585,3546,73,53,0,0
incpath.c,713,684,45,30,0,0
ipa-reference.c,3268,3235,102,85,0,0
sort.c,142,136,10,7,0,0
tree-vect-patterns.c,1764,1729,85,62,0,0
insn-modes.c,47,47,0,0,0,0
expr.c,27525,26488,1618,1038,0,0
tree-ssa-pre.c,13405,12887,872,570,0,0
lto-wpa-fixup.c,594,578,19,11,0,0
cpp_macro.c,4893,4769,288,214,0,0
intl.c,21,21,1,1,0,0
combine-stack-adj.c,1322,1305,58,46,0,0
reload.c,21812,20985,1315,857,0,0
cppdefault.c,18,18,0,0,0,0
statistics.c,559,555,13,11,0,0
lambda-trans.c,59,59,1,1,0,0
store-motion.c,3562,3489,166,122,0,0
c-ppoutput.c,1007,1004,23,21,0,0
stack-ptr-mod.c,168,158,8,3,0,0
cfglayout.c,4243,4185,201,165,0,0
loop-invariant.c,5644,5523,236,170,0,0
gtype-desc.c,32069,31613,491,251,0,0
tree-ssa-address.c,2234,2204,97,82,0,0
cpp_line-map.c,744,717,80,60,0,0
getpwd.c,99,91,13,7,0,0
c-decl.c,38093,37622,849,598,0,0
ipa-prop.c,6027,5971,202,169,0,0
ipa-pure-const.c,3266,3195,177,138,0,0
cfgloop.c,5594,5521,228,190,0,0
tree-ssa-threadupdate.c,2763,2754,62,57,0,0
convert.c,3107,3046,144,104,0,0
cse.c,18364,17589,1337,918,0,0
c-typeck.c,27886,27146,1546,1134,0,0
tree-vectorizer.c,882,870,33,25,0,0
decimal32.c,948,932,62,54,0,0
cpp_directives-only.c,592,560,78,62,0,0
stor-layout.c,6249,6150,166,112,0,0
dfp.c,1183,1183,11,11,0,0
omp-low.c,17911,-1,804,-1,0,-1
ggc-common.c,1671,1647,71,59,0,0
profile.c,4346,4243,182,130,0,0
expmed.c,14196,13678,1080,795,0,0
tree-ssa-loop.c,273,273,16,16,0,0
c-omp.c,1342,1310,67,51,0,0
tree-complex.c,3858,3756,199,146,0,0
cpp_mkdeps.c,862,837,70,55,0,0
host-ieee32.c,22,22,0,0,0,0
