FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
insn-automata.c,min_insn_conflict_delay-0,set(['14']),set(['14']),set([]),set([]),subset
insn-automata.c,min_insn_conflict_delay-1,set(['14']),set(['14']),set([]),set([]),subset
insn-automata.c,min_insn_conflict_delay-2,"set(['10', '14'])","set(['10', '14'])",set([]),set([]),subset
insn-automata.c,min_insn_conflict_delay-3,"set(['5', '14'])","set(['5', '14'])",set([]),set([]),subset
insn-automata.c,internal_min_issue_delay-1,set(['162']),set(['162']),set([]),set([]),subset
insn-automata.c,internal_min_issue_delay-0,"set(['150', '132', '154', '156', '140', '158', '29', '130', '61', '117', '63', '111', '136', '66', '134', '68', '83', '80', '138', '119', '85', '24', '26', '21', '48', '46', '160', '43', '41', '162', '4', '8', '146', '144', '142', '109', '148', '77', '74', '124', '126', '70', '128', '103', '92', '106', '94', '97', '58', '11', '99', '38', '14', '17', '114', '55', '31', '51', '36', '53', '34', '19', '89', '152'])","set(['150', '132', '154', '156', '140', '158', '29', '130', '61', '117', '63', '111', '136', '66', '134', '68', '83', '80', '138', '119', '85', '24', '26', '21', '48', '46', '160', '43', '41', '162', '4', '8', '146', '144', '142', '109', '148', '77', '74', '124', '126', '70', '128', '103', '92', '106', '94', '97', '58', '11', '99', '38', '14', '17', '114', '55', '31', '51', '36', '53', '34', '19', '89', '152'])",set([]),set([]),subset
insn-automata.c,maximal_insn_latency-2,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
insn-automata.c,maximal_insn_latency-0,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,maximal_insn_latency-1,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,min_issue_delay-2,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
insn-automata.c,min_issue_delay-0,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,min_issue_delay-1,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,internal_maximal_insn_latency-0,set(['31']),set(['31']),set([]),set([]),subset
insn-automata.c,dfa_insn_code_enlarge-0,set(['1']),set(['1']),set([]),set([]),subset
insn-automata.c,dfa_insn_code-0,set(['4']),set(['4']),set([]),set([]),subset
insn-automata.c,internal_insn_latency-0,set(['2049']),set(['2049']),set([]),set([]),subset
insn-automata.c,insn_latency-0,set(['11']),set(['11']),set([]),set([]),subset
insn-automata.c,insn_latency-1,set(['11']),set(['11']),set([]),set([]),subset
insn-automata.c,insn_latency-2,"set(['11', '10'])","set(['11', '10'])",set([]),set([]),subset
insn-automata.c,insn_latency-3,"set(['11', '5'])","set(['11', '5'])",set([]),set([]),subset
insn-automata.c,dfa_clean_insn_cache-0,set(['1']),set(['1']),set([]),set([]),subset
insn-automata.c,state_transition-2,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
insn-automata.c,state_transition-0,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,state_transition-1,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,internal_state_transition-1,"set(['198', '210', '159', '112', '271', '65', '179', '134', '252', '232', '24', '40', '171', '282', '187', '145', '263', '244', '126', '90', '101', '221', '12', '76', '32', '354', '352', '54'])","set(['198', '210', '159', '112', '271', '65', '179', '134', '252', '232', '24', '40', '171', '282', '187', '145', '263', '244', '126', '90', '101', '221', '12', '76', '32', '354', '352', '54'])",set([]),set([]),subset
