Analizing File:  binpos.c
Analizing File:  regerror.c
        0.31 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.31 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.03 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
Analizing File:  regexec.c
        0.27 real         0.02 user         0.00 sys
        0.27 real         0.03 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.30 real         0.03 user         0.00 sys
        0.28 real         0.03 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.24 real         0.02 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.26 real         0.03 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
Analizing File:  regfree.c
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.24 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.04 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.22 real         0.04 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
Analizing File:  reslib.c
        0.53 real         0.02 user         0.00 sys
        0.50 real         0.02 user         0.00 sys
        0.52 real         0.03 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.50 real         0.02 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.52 real         0.02 user         0.00 sys
        0.51 real         0.03 user         0.00 sys
        0.51 real         0.03 user         0.00 sys
Analizing File:  select_atoms.c
        0.49 real         0.14 user         0.00 sys
        0.44 real         0.13 user         0.01 sys
        0.42 real         0.13 user         0.01 sys
        0.43 real         0.14 user         0.01 sys
        0.41 real         0.13 user         0.00 sys
        0.41 real         0.13 user         0.00 sys
        0.41 real         0.13 user         0.01 sys
        0.40 real         0.12 user         0.00 sys
        0.41 real         0.12 user         0.00 sys
        0.41 real         0.13 user         0.01 sys
Analizing File:  sff.c
        0.71 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.68 real         0.02 user         0.00 sys
        0.68 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.70 real         0.02 user         0.00 sys
        0.73 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.68 real         0.02 user         0.00 sys
Analizing File:  specrand.c
        0.16 real         0.05 user         0.00 sys
        0.18 real         0.05 user         0.00 sys
        0.16 real         0.05 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.16 real         0.04 user         0.00 sys
        0.16 real         0.05 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
Analizing File:  traceback.c
        0.21 real         0.04 user         0.00 sys
        0.23 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.00 sys
        0.22 real         0.04 user         0.01 sys
        0.21 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.00 sys
